rebalance_date,ticker,rank,selected_flag
2016-04-25,VRSN,4.0,1
2016-04-25,DO,5.0,1
2016-04-25,MUR,6.0,1
2016-04-25,BAX,7.0,1
2016-04-25,EMR,8.0,1
2016-04-25,DGX,9.0,1
2016-04-25,BLK,10.0,1
2016-04-25,ED,11.0,1
2016-04-25,YUM,12.0,1
2016-04-25,KLAC,13.0,1
2016-04-25,FAST,14.0,1
2016-04-25,CPGX,15.0,1
2016-04-25,ABBV,16.0,1
2016-04-25,ROK,17.0,1
2016-04-25,WMT,18.0,1
2016-04-25,CAT,19.0,1
2016-04-25,PAYX,20.0,1
2016-05-23,CLX,1.0,1
2016-05-23,NEM,2.0,1
2016-05-23,OKE,3.0,1
2016-05-23,CPB,4.0,1
2016-05-23,ED,5.0,1
2016-05-23,CPGX,6.0,1
2016-05-23,DO,7.0,1
2016-05-23,YUM,8.0,1
2016-05-23,NVDA,9.0,1
2016-05-23,ROK,10.0,1
2016-05-23,IBM,11.0,1
2016-05-23,KLAC,12.0,1
2016-05-23,WMT,13.0,1
2016-05-23,SYY,14.0,1
2016-05-23,SO,15.0,1
2016-05-23,GWW,16.0,1
2016-05-23,CINF,17.0,1
2016-05-23,PAYX,18.0,1
2016-05-23,PBCT,19.0,1
2016-05-23,MO,20.0,1
2016-06-20,OKE,1.0,1
2016-06-20,SWN,2.0,1
2016-06-20,CLX,3.0,1
2016-06-20,NEM,4.0,1
2016-06-20,MUR,5.0,1
2016-06-20,FCX,6.0,1
2016-06-20,ED,7.0,1
2016-06-20,ROK,8.0,1
2016-06-20,CPB,9.0,1
2016-06-20,DO,10.0,1
2016-06-20,PAYX,11.0,1
2016-06-20,IBM,12.0,1
2016-06-20,YUM,13.0,1
2016-06-20,KLAC,14.0,1
2016-06-20,EMR,15.0,1
2016-06-20,CAT,16.0,1
2016-06-20,PBCT,17.0,1
2016-06-20,HOT,18.0,1
2016-06-20,VRSN,19.0,1
2016-06-20,PH,20.0,1
2016-07-18,FCX,1.0,1
2016-07-18,OKE,2.0,1
2016-07-18,NEM,3.0,1
2016-07-18,MUR,4.0,1
2016-07-18,CLX,5.0,1
2016-07-18,DO,6.0,1
