strategy_id,date,cash,equity,daily_pnl
D20,2019-09-04,6266520.24,11770661.23,60570.86
D10,2019-09-05,6809178.9,11984977.87,42128.49
D20,2019-09-05,6267000.18,11804478.15,33816.93
D10,2019-09-06,6809697.7,11978704.68,-6273.19
D20,2019-09-06,6267477.67,11782302.65,-22175.5
D10,2019-09-09,6810216.53,11999776.49,21071.81
D20,2019-09-09,6267955.19,11804666.19,22363.54
D10,2019-09-10,6810732.7,12001417.69,1641.21
D20,2019-09-10,6268430.26,11806060.2,1394.01
D10,2019-09-11,6811251.62,12032577.62,31159.92
D20,2019-09-11,6268907.85,11845887.85,39827.65
D10,2019-09-12,6811767.86,12043990.84,11413.22
D20,2019-09-12,6269383.0,11857603.51,11715.66
D10,2019-09-13,6812286.86,12029871.87,-14118.97
D20,2019-09-13,6269860.66,11855659.67,-1943.84
D10,2019-09-16,6812814.0,12004709.01,-25162.86
D20,2019-09-16,6270345.83,11826895.84,-28763.83
D10,2019-09-17,6813341.18,12016390.21,11681.2
D20,2019-09-17,6270831.04,11850400.06,23504.22
D10,2019-09-18,6813857.59,11997093.59,-19296.62
D20,2019-09-18,6271306.33,11830529.33,-19870.74
D10,2019-09-19,6814368.63,11976073.65,-21019.94
D20,2019-09-19,6271776.68,11798130.69,-32398.64
D10,2019-09-20,6814874.3,11941187.35,-34886.29
D20,2019-09-20,6272242.08,11770792.09,-27338.6
D10,2019-09-23,6815388.12,11971790.12,30602.76
D20,2019-09-23,6272714.99,11793088.04,22295.95
D10,2019-09-24,6815896.57,11920002.54,-51787.58
D20,2019-09-24,6273182.95,11744129.93,-48958.11
D10,2019-09-25,6816396.94,11946770.97,26768.43
D20,2019-09-25,6273643.48,11768449.51,24319.58
D10,2019-09-26,6816881.12,11960552.11,13781.14
D20,2019-09-26,6274089.11,11762648.1,-5801.41
